Game,Home,Away,Home,Away
241,C4,B2,,
242,C5,B2,,
243,B4,B3,,
244,B5,B3,,
245,C1,B3,,
246,C2,B3,,
247,C3,B3,,
248,C4,B3,,
249,C5,B3,,
250,B5,B4,,
251,C1,B4,,
252,C2,B4,,
253,C3,B4,,
254,C4,B4,,
255,C5,B4,,
256,C1,B5,,
257,C2,B5,,
258,C3,B5,,
259,C4,B5,,
260,C5,B5,,
261,C2,C1,,
262,C3,C1,,
263,C4,C1,,
264,C5,C1,,
265,C3,C2,,
266,C4,C2,,
267,C5,C2,,
268,C4,C3,,
269,C5,C3,,
270,C5,C4,,
271,D1,D2,,
272,D1,D3,,
273,D1,D4,,
274,D1,D5,,
275,D2,D3,,
276,D2,D4,,
277,D2,D5,,
278,D3,D4,,
279,D3,D5,,
280,D4,D5,,
281,E1,E2,,
282,E1,E3,,
283,E1,E4,,
284,E1,E5,,
285,E2,E3,,
286,E2,E4,,
287,E2,E5,,
288,E3,E4,,
289,E3,E5,,
290,E4,E5,,
291,F1,F2,,
292,F1,F3,,
293,F1,F4,,
294,F1,F5,,
295,F2,F3,,
296,F2,F4,,
297,F2,F5,,
298,F3,F4,,
299,F3,F5,,
300,F4,F5,,
301,D2,D1,,
302,D3,D1,,
303,D4,D1,,
304,D5,D1,,
305,D3,D2,,
306,D4,D2,,
307,D5,D2,,
308,D4,D3,,
309,D5,D3,,
310,D5,D4,,
311,E2,E1,,
312,E3,E1,,
313,E4,E1,,
314,E5,E1,,
315,E3,E2,,
316,E4,E2,,
317,E5,E2,,
318,E4,E3,,
319,E5,E3,,
320,E5,E4,,
321,F2,F1,,
322,F3,F1,,
323,F4,F1,,
324,F5,F1,,
325,F3,F2,,
326,F4,F2,,
327,F5,F2,,
328,F4,F3,,
329,F5,F3,,
330,F5,F4,,
331,D1,D2,,
332,D1,D3,,
333,D1,D4,,
334,D1,D5,,
335,D1,E1,,
336,D1,E2,,
337,D1,E3,,
338,D1,E4,,
339,D1,E5,,
340,D1,F1,,
341,D1,F2,,
342,D1,F3,,
343,D1,F4,,
344,D1,F5,,
345,D2,D3,,
346,D2,D4,,
347,D2,D5,,
348,D2,E1,,
349,D2,E2,,
350,D2,E3,,
351,D2,E4,,
352,D2,E5,,
353,D2,F1,,
354,D2,F2,,
355,D2,F3,,
356,D2,F4,,
357,D2,F5,,
358,D3,D4,,
359,D3,D5,,
360,D3,E1,,
361,D3,E2,,
362,D3,E3,,
363,D3,E4,,
364,D3,E5,,
365,D3,F1,,
366,D3,F2,,
367,D3,F3,,
368,D3,F4,,
369,D3,F5,,
370,D4,D5,,
371,D4,E1,,
372,D4,E2,,
373,D4,E3,,
374,D4,E4,,
375,D4,E5,,
376,D4,F1,,
377,D4,F2,,
378,D4,F3,,
379,D4,F4,,
380,D4,F5,,
381,D5,E1,,
382,D5,E2,,
383,D5,E3,,
384,D5,E4,,
385,D5,E5,,
386,D5,F1,,
387,D5,F2,,
388,D5,F3,,
389,D5,F4,,
390,D5,F5,,
391,E1,E2,,
392,E1,E3,,
393,E1,E4,,
394,E1,E5,,
395,E1,F1,,
396,E1,F2,,
397,E1,F3,,
398,E1,F4,,
399,E1,F5,,
400,E2,E3,,
401,E2,E4,,
402,E2,E5,,
403,E2,F1,,
404,E2,F2,,
405,E2,F3,,
406,E2,F4,,
407,E2,F5,,
408,E3,E4,,
409,E3,E5,,
410,E3,F1,,
411,E3,F2,,
412,E3,F3,,
413,E3,F4,,
414,E3,F5,,
415,E4,E5,,
416,E4,F1,,
417,E4,F2,,
418,E4,F3,,
419,E4,F4,,
420,E4,F5,,
421,E5,F1,,
422,E5,F2,,
423,E5,F3,,
424,E5,F4,,
425,E5,F5,,
426,F1,F2,,
427,F1,F3,,
428,F1,F4,,
429,F1,F5,,
430,F2,F3,,
431,F2,F4,,
432,F2,F5,,
433,F3,F4,,
434,F3,F5,,
435,F4,F5,,
436,D2,D1,,
437,D3,D1,,
438,D4,D1,,
439,D5,D1,,
440,E1,D1,,
441,E2,D1,,
442,E3,D1,,
443,E4,D1,,
444,E5,D1,,
445,F1,D1,,
446,F2,D1,,
447,F3,D1,,
448,F4,D1,,
449,F5,D1,,
450,D3,D2,,
451,D4,D2,,
452,D5,D2,,
453,E1,D2,,
454,E2,D2,,
455,E3,D2,,
456,E4,D2,,
457,E5,D2,,
458,F1,D2,,
459,F2,D2,,
460,F3,D2,,
461,F4,D2,,
462,F5,D2,,
463,D4,D3,,
464,D5,D3,,
465,E1,D3,,
