Team Name,Division,Conference,Wins,Loss,Percentage,Total Score,Opp Score,Margin,Avg Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
"",,,,,,,,,,,,,,,,,,,,,,
G.O.O.D.,,,,,,,,,,,,,,,,,,,,,,
Detroit 76ers,G.O.O.D.,Western,3,7,0.3,2740,2803,-63,-7.9,2,3,1,4,0,4,3,6,1,1,0,0
Tag Em & Bag Em,G.O.O.D.,Western,8,2,0.8,3415,3230,185,23.1,4,2,4,0,4,1,8,2,2,0,0,0
Miller Time,G.O.O.D.,Western,6,4,0.6,3968,2988,980,108.9,3,2,3,2,2,2,5,4,1,0,0,0
Toshiba Auggie,G.O.O.D.,Western,6,4,0.6,3725,3100,625,78.1,3,3,3,1,3,1,5,4,2,0,0,0
The Big Fellas,G.O.O.D.,Western,3,7,0.3,1824,2965,-1141,-190.2,2,5,1,2,2,3,3,7,2,2,0,0
"",,,,,,,,,,,,,,,,,,,,,,
CASH MONEY,,,,,,,,,,,,,,,,,,,,,,
Chaos,Cash Money,Western,1,11,0.083,686,1025,-339,-169.5,1,5,0,6,0,5,1,10,1,9,0,0
Book Masters,Cash Money,Western,3,7,0.3,2657,3502,-845,-120.7,2,4,1,3,1,2,3,6,1,2,0,0
That Couple,Cash Money,Western,4,6,0.4,3431,4239,-808,-89.8,2,2,2,4,1,3,4,5,1,0,0,0
Star Studded,Cash Money,Western,9,2,0.818,3445,3354,91,11.4,6,2,3,0,5,1,9,2,3,0,0,0
Hands On Deck,Cash Money,Western,9,2,0.818,3904,2789,1115,139.4,5,0,4,2,4,0,8,1,3,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
DEATH ROW,,,,,,,,,,,,,,,,,,,,,,
JQ Suited,Death Row,Western,10,1,0.909,4462,3098,1364,151.6,5,1,5,0,4,1,9,1,2,0,0,0
Kimasha,Death Row,Western,4,6,0.4,3235,3663,-428,-53.5,3,4,1,2,3,2,4,6,1,1,0,0
Kingdom Minded,Death Row,Western,0,11,0.0,473,1046,-573,-286.5,0,6,0,5,0,5,0,10,0,9,0,0
Blind 7's,Death Row,Western,5,5,0.5,2023,3280,-1257,-157.1,3,2,2,3,3,1,5,5,2,0,0,0
Dubs,Death Row,Western,8,5,0.615,5051,4281,770,70.0,5,4,3,1,1,2,7,5,2,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
BAD BOY,,,,,,,,,,,,,,,,,,,,,,
Shaolin Stars,Bad Boy,Eastern,7,3,0.7,4889,3007,1882,188.2,2,0,5,3,4,0,7,2,0,0,0,0
N.M.O.E,Bad Boy,Eastern,3,7,0.3,2564,4087,-1523,-190.4,1,2,2,5,1,2,2,7,2,0,0,0
Knuck If You Stuck,Bad Boy,Eastern,7,3,0.7,3735,3650,85,10.6,3,2,4,1,3,2,7,3,2,0,0,0
Gerow Animals,Bad Boy,Eastern,8,2,0.8,4067,2194,1873,234.1,5,2,3,0,3,1,8,1,1,1,0,0
Double D's,Bad Boy,Eastern,3,7,0.3,3775,4791,-1016,-112.9,2,4,1,3,0,6,3,7,0,1,0,0
"",,,,,,,,,,,,,,,,,,,,,,
STATE PROPERTY,,,,,,,,,,,,,,,,,,,,,,
PG's Finest,State Property,Eastern,3,7,0.3,2455,2417,38,6.3,1,3,2,4,0,3,3,6,0,4,0,0
Team Bui,State Property,Eastern,9,1,0.9,4368,1389,2979,331.0,3,0,6,1,5,0,9,1,1,0,0,0
Yonkers Southside,State Property,Eastern,6,4,0.6,3386,3822,-436,-54.5,2,0,4,4,3,1,6,4,1,1,0,0
Ol Dirty,State Property,Eastern,5,5,0.5,3728,3473,255,25.5,3,3,2,2,1,4,4,5,0,0,0,0
Harry Potheads,State Property,Eastern,3,7,0.3,3951,4802,-851,-85.1,1,4,2,3,1,2,3,6,0,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
SO SO DEF,,,,,,,,,,,,,,,,,,,,,,
Florida Oranges,So So Def,Eastern,4,6,0.4,2567,4615,-2048,-204.8,2,3,2,3,2,2,2,6,0,0,0,0
Twin N Em,So So Def,Eastern,4,6,0.4,2938,3689,-751,-93.9,0,2,4,4,1,4,3,6,0,2,0,0
TNT,So So Def,Eastern,7,6,0.538,5542,4198,1344,103.4,5,3,2,3,6,2,7,5,0,0,0,0
Team Robinson,So So Def,Eastern,5,6,0.455,2629,3416,-787,-87.4,2,3,3,3,2,3,5,6,2,0,0,0
A Team,So So Def,Eastern,3,6,0.333,2995,3715,-720,-80.0,0,2,3,4,2,2,2,6,0,0,0,0
