Team Name,Division,Conference,Wins,Loss,Percent,Avg Margin,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
"",,,,,,,,,,,,,,,,,,,,,,
G.O.O.D.,,,,,,,,,,,,,,,,,,,,,,
Detroit 76ers,G.O.O.D.,Western,4,12,0.25,-25.6,4429,4736,-307,3,6,1,6,1,5,4,10,1,3,0,0
Tag Em & Bag Em,G.O.O.D.,Western,10,6,0.625,-23.2,5869,6194,-325,5,1,5,5,6,1,10,6,2,0,0,0
Miller Time,G.O.O.D.,Western,10,6,0.625,126.3,6285,4517,1768,5,3,5,3,4,3,8,6,2,0,0,0
Toshiba Auggie,G.O.O.D.,Western,11,6,0.647,78.5,6098,5078,1020,4,2,7,4,4,3,10,6,4,0,0,0
The Big Fellas,G.O.O.D.,Western,3,13,0.188,-273.6,2680,5690,-3010,2,6,1,7,2,5,3,12,2,3,0,0
"",,,,,,,,,,,,,,,,,,,,,,
CASH MONEY,,,,,,,,,,,,,,,,,,,,,,
Chaos,Cash Money,Western,1,15,0.063,-169.5,686,1025,-339,1,7,0,8,0,6,1,13,1,13,0,0
Book Masters,Cash Money,Western,4,12,0.25,-123.9,4158,5645,-1487,2,5,2,7,1,5,4,10,1,3,0,0
That Couple,Cash Money,Western,9,7,0.563,-34.3,4891,5302,-411,5,5,4,2,3,4,8,6,4,0,0,0
Star Studded,Cash Money,Western,13,3,0.813,70.5,4910,4134,776,8,1,5,2,5,1,12,3,5,0,0,0
Hands On Deck,Cash Money,Western,14,2,0.875,224.9,6520,3596,2924,7,2,7,0,7,0,13,1,3,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
DEATH ROW,,,,,,,,,,,,,,,,,,,,,,
JQ Suited,Death Row,Western,14,2,0.875,190.4,6409,3934,2475,9,0,5,2,4,2,11,2,3,0,0,0
Kimasha,Death Row,Western,7,8,0.467,-28.3,4868,5207,-339,5,3,2,5,3,3,7,8,1,2,0,0
Kingdom Minded,Death Row,Western,0,16,0.0,-286.5,473,1046,-573,0,8,0,8,0,7,0,14,0,14,0,0
Blind 7's,Death Row,Western,7,7,0.5,-174.2,2707,4623,-1916,5,3,2,4,4,1,7,7,3,0,0,0
Dubs,Death Row,Western,13,6,0.684,56.5,6890,6042,848,8,1,5,5,4,2,12,6,4,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
BAD BOY,,,,,,,,,,,,,,,,,,,,,,
Shaolin Stars,Bad Boy,Eastern,7,9,0.438,106.4,5416,4139,1277,2,7,5,2,4,3,7,8,0,4,0,0
N.M.O.E,Bad Boy,Eastern,4,12,0.25,-263.1,3287,6707,-3420,1,7,3,5,2,3,3,11,3,0,0,0
Knuck If You Stuck,Bad Boy,Eastern,10,6,0.625,-61.8,4874,5616,-742,4,3,6,3,4,2,9,6,4,0,0,0
Gerow Animals,Bad Boy,Eastern,14,2,0.875,221.8,6286,3625,2661,8,0,6,2,6,1,14,1,3,1,0,0
Double D's,Bad Boy,Eastern,5,11,0.313,-118.9,5558,7222,-1664,3,4,2,7,0,7,5,10,0,2,0,0
"",,,,,,,,,,,,,,,,,,,,,,
STATE PROPERTY,,,,,,,,,,,,,,,,,,,,,,
PG's Finest,State Property,Eastern,7,9,0.438,10.0,3802,3702,100,2,5,5,4,2,4,7,8,1,5,0,0
Team Bui,State Property,Eastern,15,1,0.938,303.3,7498,2948,4550,7,1,8,0,7,0,14,1,1,0,0,0
Yonkers Southside,State Property,Eastern,9,7,0.563,-54.0,5594,6296,-702,3,6,6,1,4,3,9,6,2,1,0,0
Ol Dirty,State Property,Eastern,10,6,0.625,141.3,6715,4454,2261,6,2,4,4,3,4,9,6,0,0,0,0
Harry Potheads,State Property,Eastern,6,11,0.353,-32.2,6281,6796,-515,3,6,3,5,1,6,5,10,0,1,0,0
"",,,,,,,,,,,,,,,,,,,,,,
SO SO DEF,,,,,,,,,,,,,,,,,,,,,,
Florida Oranges,So So Def,Eastern,5,11,0.313,-230.7,3549,6779,-3230,2,5,3,6,3,4,3,11,1,1,0,0
Twin N Em,So So Def,Eastern,8,7,0.533,-24.2,4917,5207,-290,2,4,6,3,3,4,6,7,1,2,0,0
TNT,So So Def,Eastern,8,8,0.5,80.9,6413,5200,1213,6,3,2,5,6,2,7,6,1,0,0,0
Team Robinson,So So Def,Eastern,6,9,0.4,-94.0,3425,4459,-1034,3,5,3,4,2,5,6,9,3,1,0,0
A Team,So So Def,Eastern,6,10,0.375,-98.1,5383,6952,-1569,2,6,4,4,3,2,5,9,0,0,0,0
