Team Name,Division,Conference,Wins,Loss,Percent,Avg Margin,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
"",,,,,,,,,,,,,,,,,,,,,,
G.O.O.D.,,,,,,,,,,,,,,,,,,,,,,
Detroit 76ers,G.O.O.D.,Western,4,14,0.222,-25.6,4911,5244,-333,3,7,1,7,1,6,4,12,1,4,0,0
Tag Em & Bag Em,G.O.O.D.,Western,10,8,0.556,-57.9,6329,7255,-926,5,3,5,5,6,2,10,8,2,0,0,0
Miller Time,G.O.O.D.,Western,12,6,0.667,133.2,6807,4809,1998,5,3,7,3,5,3,10,6,3,0,0,0
Toshiba Auggie,G.O.O.D.,Western,11,7,0.611,63.7,6528,5636,892,4,2,7,5,4,3,10,7,4,0,0,0
The Big Fellas,G.O.O.D.,Western,5,13,0.278,-248.7,3188,6172,-2984,3,6,2,7,3,5,5,12,3,3,0,0
"",,,,,,,,,,,,,,,,,,,,,,
CASH MONEY,,,,,,,,,,,,,,,,,,,,,,
Chaos,Cash Money,Western,1,16,0.059,-169.5,686,1025,-339,1,8,0,8,0,7,1,14,1,14,0,0
Book Masters,Cash Money,Western,4,13,0.235,-123.9,4158,5645,-1487,2,6,2,7,1,5,4,11,1,4,0,0
That Couple,Cash Money,Western,11,7,0.611,-3.1,5430,5470,-40,5,5,6,2,4,4,10,6,5,0,0,0
Star Studded,Cash Money,Western,15,3,0.833,93.7,5453,4329,1124,9,1,6,2,6,1,14,3,6,0,0,0
Hands On Deck,Cash Money,Western,15,3,0.833,184.0,6715,4139,2576,7,2,8,1,7,1,13,2,4,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
DEATH ROW,,,,,,,,,,,,,,,,,,,,,,
JQ Suited,Death Row,Western,16,2,0.889,177.4,6914,4430,2484,10,0,6,2,5,2,13,2,4,0,0,0
Kimasha,Death Row,Western,8,9,0.471,-29.3,5745,6155,-410,6,4,2,5,3,4,8,9,1,2,0,0
Kingdom Minded,Death Row,Western,0,18,0.0,-286.5,473,1046,-573,0,9,0,9,0,8,0,16,0,16,0,0
Blind 7's,Death Row,Western,8,9,0.471,-132.8,3721,5447,-1726,5,4,3,5,5,2,8,9,3,1,0,0
Dubs,Death Row,Western,15,6,0.714,56.5,6890,6042,848,10,1,5,5,5,2,13,6,6,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
BAD BOY,,,,,,,,,,,,,,,,,,,,,,
Shaolin Stars,Bad Boy,Eastern,7,11,0.389,88.5,5829,4678,1151,2,7,5,4,4,3,7,9,0,5,0,0
N.M.O.E,Bad Boy,Eastern,5,13,0.278,-280.3,3547,7752,-4205,2,8,3,5,3,4,4,12,3,0,0,0
Knuck If You Stuck,Bad Boy,Eastern,11,7,0.611,-97.1,4552,5911,-1359,4,3,7,4,5,2,10,7,4,0,0,0
Gerow Animals,Bad Boy,Eastern,16,2,0.889,268.7,7320,3558,3762,9,0,7,2,7,1,16,1,3,1,0,0
Double D's,Bad Boy,Eastern,5,13,0.278,-127.8,6193,8237,-2044,3,5,2,8,0,9,5,12,0,2,0,0
"",,,,,,,,,,,,,,,,,,,,,,
STATE PROPERTY,,,,,,,,,,,,,,,,,,,,,,
PG's Finest,State Property,Eastern,7,11,0.389,-70.3,3930,4774,-844,2,5,5,6,2,6,7,10,1,5,0,0
Team Bui,State Property,Eastern,17,1,0.944,379.8,8597,2141,6456,9,1,8,0,8,0,16,1,1,0,0,0
Yonkers Southside,State Property,Eastern,11,7,0.611,4.0,6809,6749,60,5,6,6,1,5,3,11,6,2,1,0,0
Ol Dirty,State Property,Eastern,11,7,0.611,78.8,6772,5353,1419,6,2,5,5,3,4,10,7,0,0,0,0
Harry Potheads,State Property,Eastern,7,12,0.368,-44.4,6547,7302,-755,4,6,3,6,1,6,6,11,1,1,0,0
"",,,,,,,,,,,,,,,,,,,,,,
SO SO DEF,,,,,,,,,,,,,,,,,,,,,,
Florida Oranges,So So Def,Eastern,6,12,0.333,-184.7,3893,6848,-2955,3,5,3,7,3,4,4,12,1,1,0,0
Twin N Em,So So Def,Eastern,9,8,0.529,-10.1,5841,5982,-141,3,4,6,4,3,5,7,8,1,2,0,0
TNT,So So Def,Eastern,9,9,0.5,59.9,7329,6311,1018,7,3,2,6,6,2,8,7,1,0,0,0
Team Robinson,So So Def,Eastern,6,11,0.353,-94.0,3425,4459,-1034,3,6,3,5,2,5,6,10,3,3,0,0
A Team,So So Def,Eastern,7,11,0.389,-90.7,6253,7886,-1633,3,7,4,4,4,2,6,10,0,0,0,0
