Team Name,Division,Conference,Wins,Loss,Percentage,Total Score,Opp Score,Margin,Avg Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
"",,,,,,,,,,,,,,,,,,,,,,
G.O.O.D.,,,,,,,,,,,,,,,,,,,,,,
Detroit 76ers,G.O.O.D.,Western,4,8,0.333,3505,3706,-201,-20.1,3,4,1,4,1,4,4,7,1,1,0,0
Tag Em & Bag Em,G.O.O.D.,Western,8,4,0.667,4134,4296,-162,-16.2,4,4,4,0,4,1,8,4,2,0,0,0
Miller Time,G.O.O.D.,Western,7,5,0.583,4775,3271,1504,136.7,3,2,4,3,3,2,6,5,1,0,0,0
Toshiba Auggie,G.O.O.D.,Western,7,5,0.583,4610,4020,590,59.0,3,4,4,1,3,2,6,5,2,0,0,0
The Big Fellas,G.O.O.D.,Western,3,9,0.25,1605,3482,-1877,-268.1,2,5,1,4,2,4,3,9,2,3,0,0
"",,,,,,,,,,,,,,,,,,,,,,
CASH MONEY,,,,,,,,,,,,,,,,,,,,,,
Chaos,Cash Money,Western,1,13,0.071,686,1025,-339,-169.5,1,7,0,6,0,6,1,11,1,11,0,0
Book Masters,Cash Money,Western,3,9,0.25,3170,4564,-1394,-154.9,2,6,1,3,1,3,3,7,1,2,0,0
That Couple,Cash Money,Western,6,6,0.5,3938,4308,-370,-37.0,4,2,2,4,2,3,6,5,2,0,0,0
Star Studded,Cash Money,Western,11,3,0.786,4406,4246,160,16.0,7,2,4,1,5,1,11,3,4,0,0,0
Hands On Deck,Cash Money,Western,11,2,0.846,4982,2846,2136,213.6,6,0,5,2,5,0,10,1,3,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
DEATH ROW,,,,,,,,,,,,,,,,,,,,,,
JQ Suited,Death Row,Western,11,1,0.917,4979,3444,1535,153.5,6,1,5,0,4,1,10,1,2,0,0,0
Kimasha,Death Row,Western,5,7,0.417,3775,4439,-664,-66.4,4,4,1,3,3,2,5,7,1,1,0,0
Kingdom Minded,Death Row,Western,0,13,0.0,473,1046,-573,-286.5,0,7,0,6,0,6,0,11,0,11,0,0
Blind 7's,Death Row,Western,5,6,0.455,2092,3787,-1695,-188.3,3,3,2,3,3,1,5,6,2,0,0,0
Dubs,Death Row,Western,10,5,0.667,5553,4571,982,81.8,6,4,4,1,2,2,9,5,3,0,0,0
"",,,,,,,,,,,,,,,,,,,,,,
BAD BOY,,,,,,,,,,,,,,,,,,,,,,
Shaolin Stars,Bad Boy,Eastern,7,5,0.583,5416,4139,1277,106.4,2,1,5,4,4,1,7,4,0,0,0,0
N.M.O.E,Bad Boy,Eastern,3,9,0.25,3100,5152,-2052,-205.2,1,3,2,6,1,3,2,9,2,0,0,0
Knuck If You Stuck,Bad Boy,Eastern,8,4,0.667,3897,4185,-288,-32.0,3,2,5,2,3,2,7,4,3,0,0,0
Gerow Animals,Bad Boy,Eastern,10,2,0.833,5212,2807,2405,240.5,6,2,4,0,5,1,10,1,1,1,0,0
Double D's,Bad Boy,Eastern,5,7,0.417,4842,5636,-794,-72.2,3,4,2,3,0,6,5,7,0,1,0,0
"",,,,,,,,,,,,,,,,,,,,,,
STATE PROPERTY,,,,,,,,,,,,,,,,,,,,,,
PG's Finest,State Property,Eastern,5,7,0.417,2982,2677,305,43.6,1,3,4,4,2,3,5,6,1,4,0,0
Team Bui,State Property,Eastern,11,1,0.917,5434,1444,3990,362.7,4,0,7,1,6,0,11,1,1,0,0,0
Yonkers Southside,State Property,Eastern,7,5,0.583,4243,4771,-528,-52.8,3,0,4,5,3,2,7,5,1,1,0,0
Ol Dirty,State Property,Eastern,7,5,0.583,4773,3953,820,68.3,4,3,3,2,2,4,6,5,0,0,0,0
Harry Potheads,State Property,Eastern,3,10,0.231,4190,5852,-1662,-138.5,1,5,2,5,1,5,3,9,0,1,0,0
"",,,,,,,,,,,,,,,,,,,,,,
SO SO DEF,,,,,,,,,,,,,,,,,,,,,,
Florida Oranges,So So Def,Eastern,4,8,0.333,3369,5703,-2334,-194.5,2,4,2,4,2,3,2,8,0,0,0,0
Twin N Em,So So Def,Eastern,5,6,0.455,3441,4148,-707,-78.6,1,2,4,4,1,4,3,6,0,2,0,0
TNT,So So Def,Eastern,8,6,0.571,5542,4198,1344,103.4,6,3,2,3,6,2,7,5,1,0,0,0
Team Robinson,So So Def,Eastern,5,7,0.417,3067,3924,-857,-85.7,2,4,3,3,2,3,5,7,2,0,0,0
A Team,So So Def,Eastern,5,7,0.417,4472,5023,-551,-45.9,1,3,4,4,3,2,4,7,0,0,0,0
