ID,Date,Home,Away,Home,Away
1,221024,D2,D1,435,508
2,221024,D4,E1,545,164
3,221024,F5,F2,308,535
4,221024,A5,A4,-38,598
5,221024,B3,B5,278,529
6,221024,C2,C5,507,407
7,221024,C3,C4,0,1
9,221025,F3,F4,508,115
10,221025,F2,D4,0,1
12,221025,E4,E5,255,531
13,221025,C4,B5,86,505
14,221025,C5,B2,536,427
15,221025,C1,A2,549,347
16,221026,D1,F1,529,-299
17,221026,D5,D2,286,546
18,221026,E1,D3,534,423
19,221026,F3,E5,504,167
20,221026,A1,A3,436,553
21,221026,B4,B1,1,0
22,221026,C3,C2,0,1
23,221026,E3,E2,-151,508
24,221027,E2,E4,520,304
25,221027,F3,F5,547,298
26,221027,A2,A1,535,82
27,221027,A4,C5,0,1
28,221027,B1,A5,1,0
29,221027,B4,B2,502,399
30,221027,B3,A3,522,479
31,221027,C3,C1,202,519
